Set test time: 1900 s
=========Thermal Cap[pxa1936ff]==========
time temp CPU0 CPU4 GC2D GC3D DDR
944 49000 416000 624000 78000 156000 312000
945 50000 416000 624000 78000 312000 312000
946 48000 416000 624000 78000 156000 312000
947 49000 416000 624000 78000 156000 312000
948 48000 624000 832000 78000 156000 416000
949 48000 416000 624000 78000 156000 312000
950 48000 624000 832000 78000 312000 416000
951 49000 416000 624000 78000 156000 312000
952 48000 416000 624000 78000 312000 416000
953 49000 624000 624000 78000 312000 416000
954 48000 624000 1057000 78000 156000 528000
956 48000 416000 624000 78000 156000 312000
957 48000 624000 832000 78000 156000 528000
958 48000 416000 624000 78000 156000 312000
959 48000 416000 624000 78000 312000 312000
960 50000 416000 624000 78000 312000 312000
961 48000 416000 624000 78000 156000 416000
962 49000 416000 624000 78000 156000 312000
963 49000 624000 832000 78000 312000 528000
964 48000 624000 832000 78000 312000 416000
965 49000 416000 832000 78000 312000 416000
966 49000 416000 624000 78000 156000 312000
967 50000 416000 624000 78000 624000 416000
968 50000 416000 624000 78000 312000 312000
969 49000 416000 624000 78000 156000 312000
970 49000 832000 1526000 78000 156000 416000
971 49000 624000 832000 78000 156000 528000
972 49000 624000 832000 78000 312000 416000
973 50000 416000 624000 78000 624000 312000
974 50000 416000 624000 78000 312000 312000
976 50000 416000 624000 78000 156000 312000
977 49000 624000 832000 78000 156000 416000
978 51000 416000 624000 78000 624000 312000
979 49000 624000 832000 78000 156000 416000
980 50000 416000 624000 78000 624000 312000
981 49000 416000 624000 78000 156000 312000
982 50000 832000 1526000 78000 312000 416000
983 51000 416000 624000 78000 624000 416000
984 51000 416000 624000 78000 624000 416000
985 51000 624000 832000 78000 312000 416000
986 51000 416000 624000 78000 156000 416000
987 50000 832000 1526000 78000 312000 528000
988 52000 416000 624000 78000 312000 312000
989 50000 624000 832000 78000 156000 528000
990 50000 624000 832000 78000 312000 312000
991 50000 416000 624000 78000 312000 312000
992 50000 416000 624000 78000 156000 312000
993 50000 416000 624000 78000 156000 312000
994 50000 416000 624000 78000 312000 312000
995 50000 416000 624000 78000 312000 312000
996 50000 624000 832000 78000 312000 416000
997 50000 416000 624000 78000 312000 312000
999 49000 416000 624000 78000 312000 312000
1000 50000 416000 832000 78000 156000 312000
1001 50000 416000 624000 78000 156000 312000
1002 49000 416000 624000 78000 312000 416000
1003 49000 416000 624000 78000 156000 312000
1004 49000 416000 624000 78000 156000 312000
1005 49000 416000 624000 78000 156000 312000
1006 49000 416000 624000 78000 156000 312000
1007 49000 416000 624000 78000 312000 312000
1008 50000 624000 832000 78000 312000 312000
1009 50000 416000 624000 78000 312000 312000
1010 49000 416000 624000 78000 156000 312000
1011 49000 624000 832000 78000 312000 312000
1012 50000 416000 624000 78000 624000 312000
1013 50000 624000 832000 78000 156000 312000
1014 49000 416000 624000 78000 312000 312000
1015 50000 624000 1057000 78000 624000 528000
1016 50000 416000 624000 78000 312000 312000
1018 50000 416000 624000 78000 312000 416000
1019 50000 416000 624000 78000 312000 312000
1020 50000 624000 832000 78000 312000 528000
1021 50000 416000 624000 78000 156000 312000
1022 49000 416000 624000 78000 156000 416000
1023 50000 416000 416000 78000 156000 416000
1024 49000 416000 624000 78000 156000 312000
1025 49000 416000 832000 78000 156000 312000
1026 49000 624000 832000 78000 156000 528000
1027 49000 416000 624000 78000 156000 312000
1028 50000 624000 832000 78000 312000 528000
1029 51000 416000 624000 78000 312000 312000
1030 50000 416000 1057000 78000 312000 528000
1031 50000 416000 624000 78000 156000 312000
1032 50000 416000 624000 78000 312000 312000
1033 50000 416000 624000 78000 312000 312000
1034 50000 416000 624000 78000 156000 312000
1035 49000 416000 624000 78000 156000 312000
1036 50000 416000 624000 78000 156000 312000
1037 50000 624000 832000 78000 312000 528000
1038 49000 416000 624000 78000 156000 312000
1040 50000 416000 624000 78000 624000 312000
1041 50000 416000 624000 78000 312000 312000
1042 50000 416000 624000 78000 312000 312000
1043 50000 416000 624000 78000 156000 312000
1044 50000 624000 832000 78000 156000 416000
1045 49000 416000 624000 78000 156000 312000
1046 49000 416000 624000 78000 312000 312000
1047 50000 416000 624000 78000 312000 312000
1048 50000 624000 832000 78000 156000 528000
